,Country Name,iso,Year,EPI,EPI World average,EPI gap from World average,EPI ASEAN+3 average,EPI gap from ASEAN+3 average
25,Malaysia,MYS,2016,74.23,68.06548192771085,6.164518072289155,68.159,6.070999999999998
26,Malaysia,MYS,2018,59.22,56.78403614457831,2.43596385542169,54.802,4.417999999999999
27,Malaysia,MYS,2020,47.9,47.19638554216868,0.7036144578313213,47.1,0.7999999999999972
28,Malaysia,MYS,2022,35.0,43.137951807228916,-8.137951807228916,36.61,-1.6099999999999994
29,Malaysia,MYS,2024,41.0,47.23132530120482,-6.231325301204819,39.95,1.0499999999999972
30,Philippines,PHL,2016,73.7,68.06548192771085,5.634518072289154,68.159,5.540999999999997
31,Philippines,PHL,2018,57.65,56.78403614457831,0.8659638554216897,54.802,2.847999999999999
32,Philippines,PHL,2020,38.4,47.19638554216868,-8.796385542168679,47.1,-8.700000000000003
33,Philippines,PHL,2022,28.9,43.137951807228916,-14.237951807228917,36.61,-7.710000000000001
34,Philippines,PHL,2024,32.1,47.23132530120482,-15.131325301204818,39.95,-7.850000000000001
35,Singapore,SGP,2016,87.04,68.06548192771085,18.974518072289158,68.159,18.881
36,Singapore,SGP,2018,64.23,56.78403614457831,7.445963855421695,54.802,9.428000000000004
37,Singapore,SGP,2020,58.1,47.19638554216868,10.903614457831324,47.1,11.0
38,Singapore,SGP,2022,50.9,43.137951807228916,7.762048192771083,36.61,14.29
39,Singapore,SGP,2024,53.0,47.23132530120482,5.768674698795181,39.95,13.049999999999997
40,Thailand,THA,2016,69.54,68.06548192771085,1.4745180722891575,68.159,1.3810000000000002
41,Thailand,THA,2018,49.88,56.78403614457831,-6.904036144578306,54.802,-4.921999999999997
42,Thailand,THA,2020,45.4,47.19638554216868,-1.7963855421686787,47.1,-1.7000000000000028
43,Thailand,THA,2022,38.1,43.137951807228916,-5.0379518072289144,36.61,1.490000000000002
44,Thailand,THA,2024,45.7,47.23132530120482,-1.5313253012048165,39.95,5.75
45,Viet Nam,VNM,2016,58.5,68.06548192771085,-9.565481927710849,68.159,-9.659000000000006
46,Viet Nam,VNM,2018,46.96,56.78403614457831,-9.824036144578308,54.802,-7.841999999999999
47,Viet Nam,VNM,2020,33.4,47.19638554216868,-13.796385542168679,47.1,-13.700000000000003
48,Viet Nam,VNM,2022,20.1,43.137951807228916,-23.037951807228914,36.61,-16.509999999999998
49,Viet Nam,VNM,2024,24.6,47.23132530120482,-22.631325301204818,39.95,-15.350000000000001
50,Average (World),Average (World),2016,68.06548192771085,68.06548192771085,0.0,68.159,-0.09351807228915732
51,Average (World),Average (World),2018,56.78403614457831,56.78403614457831,0.0,54.802,1.9820361445783092
52,Average (World),Average (World),2020,47.19638554216868,47.19638554216868,0.0,47.1,0.0963855421686759
53,Average (World),Average (World),2022,43.137951807228916,43.137951807228916,0.0,36.61,6.527951807228916
54,Average (World),Average (World),2024,47.23132530120482,47.23132530120482,0.0,39.95,7.2813253012048165
0,Average (ASEAN+3),Average (ASEAN+3),2016,68.159,68.06548192771085,0.09351807228915732,68.159,0.0
1,Average (ASEAN+3),Average (ASEAN+3),2018,54.802,56.78403614457831,-1.9820361445783092,54.802,0.0
2,Average (ASEAN+3),Average (ASEAN+3),2020,47.1,47.19638554216868,-0.0963855421686759,47.1,0.0
3,Average (ASEAN+3),Average (ASEAN+3),2022,36.61,43.137951807228916,-6.527951807228916,36.61,0.0
4,Average (ASEAN+3),Average (ASEAN+3),2024,39.95,47.23132530120482,-7.2813253012048165,39.95,0.0
